mortgage_advisor_name,consumer_1_email,consumer_2_email,consumer_1_email_validity,consumer_2_email_validity,consumer_1_name,consumer_2_name,consumer_1_phone_number,consumer_2_phone_number,consumer_1_phone_number_validity,consumer_1_dob,consumer_2_dob,property_address,mortgage_expiry_date,mortgage_start_date,mortgage_preferential_rate,mortgage_loan_amount,mortgage_property_value,mortgage_type,mortgage_payment_type,mortgage_lender,mortgage_loan_purpose,mortgage_scheme,mortgage_advisor_email,consumer_1_ID,consumer_2_ID
Vanessa Abigail,common_hit_no@example.com,No second consumer,Valid,No email,Heather Clare,No second consumer,7729983831.0,No second consumer,Valid,1937-10-22,No second consumer,"94 Power Save Close, Cheapford, Happenland PR25 1EF",2021-07-29,2024-07-31,2.49,120060.0,269995.0,owner-occupied,repayment,Barclays Bank,remortgage,fixed,art_miss_hit@example.com,Heather Clare_1937-10-22,No second consumer
Vanessa Abigail,awful_staff_tea@example.com,No second consumer,Valid,No email,Emma Anton,No second consumer,7792286399.0,No second consumer,Valid,1995-02-08,No second consumer,"146 Baby Road, Sectionham, Anothersex YO31 0SJ",2017-09-01,2025-11-01,2.24,94000.0,300000.0,owner-occupied,repayment,Santander UK Plc,product-transfer,fixed,art_miss_hit@example.com,Emma Anton_1995-02-08,No second consumer
Vanessa Abigail,minister_kill_bottom@example.com,No second consumer,Valid,No email,Kevin Jack,No second consumer,7588533926.0,No second consumer,Valid,1940-05-19,No second consumer,"5 Recommend Drive, Councilby, Characterland B70 0FL",2021-11-01,2025-03-19,1.89,157465.0,222950.0,owner-occupied,repayment,Halifax,purchase,fixed,art_miss_hit@example.com,Kevin Jack_1940-05-19,No second consumer
Joanne Neil,amount_happen_create@example.com,Unknown,Valid,No email,Emma Callum,Adrian Jane,7578545126.0,Unknown,Valid,1977-02-07,01/12/1994,"8 Specific Close, Nonton, Reallyshire CV6 6HT",2022-02-01,2023-03-25,1.52,118500.0,224000.0,owner-occupied,repayment,TSB,purchase,fixed,cost_leg_how@example.com,Emma Callum_1977-02-07,Adrian Jane_01/12/1994
Joanne Neil,dress_travel_late@example.com,No second consumer,Valid,No email,Sally Sunday,No second consumer,7537937123.0,No second consumer,Valid,1953-10-06,No second consumer,"8 But Road, Christton, Writeland B16 0ND",2021-11-01,2026-09-30,2.44,242024.0,318995.0,owner-occupied,repayment,Santander UK Plc,purchase,tracker,cost_leg_how@example.com,Sally Sunday_1953-10-06,No second consumer
Joanne Neil,improve_call_car@example.com,fire_stick_family@example.com,Valid,Risky,Ben Russell,Ashleigh Maria,7758244792.0,7777223523.0,Valid,1984-08-14,27/01/1944,"116 Private Avenue, Agecester, Supplyland DY2 0BY",2021-12-01,2025-09-30,1.99,234050.0,341494.0,owner-occupied,repayment,Santander UK Plc,product-transfer,fixed,cost_leg_how@example.com,Ben Russell_1984-08-14,Ashleigh Maria_27/01/1944
Emma Emma,dad_yes_son@example.com,No second consumer,Valid,No email,Nayab Emma,No second consumer,7796561953.0,No second consumer,Valid,1935-06-06,No second consumer,"296 Already Road, Situateham, Tryland B42 2GS",2019-09-06,2026-05-31,2.23,181800.0,232507.6,owner-occupied,repayment,Platform,purchase,tracker,she_east_mile@example.com,Nayab Emma_1935-06-06,No second consumer
Emma Emma,around_idea_positive@example.com,bar_address_offer@example.com,Valid,Valid,Andrew Kate,Alicja Richard,7742238176.0,7555458324.0,Valid,1987-02-22,08/04/1971,"222 Send Very Close, Hulloham, Quiteshire L40 7AE",2021-11-01,2026-09-30,2.14,83700.0,277989.0,owner-occupied,repayment,Barclays Bank,purchase,fixed,she_east_mile@example.com,Andrew Kate_1987-02-22,Alicja Richard_08/04/1971
Emma Emma,subject_please_dinner@example.com,remember_recognize_hullo@example.com,Valid,Valid,Sherelle Robert,Tokunbo Mathew,7565457557.0,7777971155.0,Valid,1953-10-15,05/12/1956,"4 Afternoon Keep Close, Inworth, Mentionsex HU9 5EQ",2021-09-24,2024-03-31,1.42,133210.0,364995.0,owner-occupied,repayment,Bluestone Mortgages,purchase,fixed,she_east_mile@example.com,Sherelle Robert_1953-10-15,Tokunbo Mathew_05/12/1956
Emma Emma,one_blue_recognize@example.com,No second consumer,Valid,No email,Bethan Katie,No second consumer,7554853613.0,No second consumer,Valid,1954-05-15,No second consumer,"286 Shoot Avenue, Compareby, Effectland WS14 9GH",2021-05-28,2026-04-30,1.99,295994.0,301482.6,owner-occupied,repayment,NatWest,product-transfer,fixed,she_east_mile@example.com,Bethan Katie_1954-05-15,No second consumer
Emma Emma,concern_mean_france@example.com,moment_hot_give@example.com,Valid,Valid,Ryan Sajith,Faisal Harjeet,7882211356.0,7882211356.0,Valid,1928-02-07,20/01/1998,"5 Build Order Street, Eithercester, Neverland ST3 3EY",2022-05-03,2025-10-31,3.99,276421.0,278978.0,owner-occupied,repayment,Barclays Bank,purchase,tracker,she_east_mile@example.com,Ryan Sajith_1928-02-07,Faisal Harjeet_20/01/1998
Emma Emma,within_door_tax@example.com,No second consumer,Valid,No email,Ashley Kai,No second consumer,7933594522.0,No second consumer,Valid,1973-12-31,No second consumer,"81 Why Appropriate Drive, Filmford, Propershire B42 2GQ",2018-09-27,2022-11-30,1.94,158795.0,291892.0,owner-occupied,repayment,NatWest,remortgage,fixed,she_east_mile@example.com,Ashley Kai_1973-12-31,No second consumer
Emma Emma,brilliant_chairman_three@example.com,none_front_positive@example.com,Valid,Valid,Nicholas Sadie,Mark Kalpita,7722159886.0,7941641289.0,Valid,1992-11-27,21/02/1962,"1 America Actual Street, Activemouth, Motionsex BB2 5FE",2022-07-01,2023-03-31,2.48,225412.0,305979.0,owner-occupied,repayment,Halifax,purchase,fixed,she_east_mile@example.com,Nicholas Sadie_1992-11-27,Mark Kalpita_21/02/1962
Emma Emma,particular_compare_place@example.com,No second consumer,Valid,No email,Daniel Karl,No second consumer,7557614557.0,No second consumer,Valid,1954-01-02,No second consumer,"226 Home Close, Nameby, Feedshire M31 4TB",2021-05-01,2026-10-31,2.39,246500.0,258959.0,owner-occupied,repayment,Halifax,product-transfer,fixed,she_east_mile@example.com,Daniel Karl_1954-01-02,No second consumer
Emma Emma,almost_price_bottle@example.com,function_gas_britain@example.com,Risky,Valid,Andrew Jemma,Claire Katie,7973513557.0,7553132617.0,Valid,1997-03-05,05/12/1963,"1 Park Drive, Allbury, Includesex OL2 6RH",2018-01-19,2026-11-30,2.11,190000.0,227378.0,owner-occupied,repayment,Santander UK Plc,purchase,fixed,she_east_mile@example.com,Andrew Jemma_1997-03-05,Claire Katie_05/12/1963
Emma Emma,love_serious_always@example.com,read_wash_husband@example.com,Valid,Valid,Hannah Joshua,Molly James,7857615516.0,7918421762.0,Valid,1997-08-12,21/10/1987,"9 Within Christ Road, Boxton, Barland LS16 9FP",2021-12-01,2023-09-01,1.44,167460.0,224578.0,owner-occupied,repayment,BM Solutions,purchase,fixed,she_east_mile@example.com,Hannah Joshua_1997-08-12,Molly James_21/10/1987
Emma Emma,period_square_other@example.com,No second consumer,Risky,No email,Ranjit Rebecca,No second consumer,7571258599.0,No second consumer,Valid,1968-06-15,No second consumer,"9 Country Avenue, Preparestead, Readysex ST17 4GB",2019-01-14,2024-10-02,1.55,186654.0,225995.0,owner-occupied,repayment,NatWest,purchase,fixed,she_east_mile@example.com,Ranjit Rebecca_1968-06-15,No second consumer
Emma Emma,four_kid_seat@example.com,No second consumer,Valid,No email,Scott Kwok,No second consumer,7847296749.0,No second consumer,Valid,1978-03-20,No second consumer,"47 Hour Avenue, Clockford, Producesex WF8 2GR",2019-11-01,2027-04-30,2.19,255999.0,350792.8,owner-occupied,repayment,Halifax,purchase,fixed,she_east_mile@example.com,Scott Kwok_1978-03-20,No second consumer
Emma Emma,rest_reason_strong@example.com,character_site_family@example.com,Valid,Valid,Pamela Kirby,Chloe Dylan,7763152861.0,7556848329.0,Valid,1973-07-26,07/05/1979,"43 Run Avenue, Employford, Secretaryland WF8 2GR",2021-10-06,2023-09-01,1.966,288568.0,389104.2,owner-occupied,repayment,Halifax,remortgage,fixed,she_east_mile@example.com,Pamela Kirby_1973-07-26,Chloe Dylan_07/05/1979
Keith Andrew,Unknown,Unknown,No email,No email,Christopher Lucy,Ashley Alycia,7958724945.0,7958724945.0,Valid,1941-02-15,31/12/1987,"209 Beauty Car Road, Votebury, Fridaysex CV35 9SU",2019-05-01,2024-12-02,1.53,161060.0,190024.0,owner-occupied,repayment,Barclays Bank,purchase,fixed,point_keep_family@example.com,Christopher Lucy_1941-02-15,Ashley Alycia_31/12/1987
Keith Andrew,Unknown,Unknown,No email,No email,Abhishek Matthew,Byron Daniel,7996729456.0,7848811863.0,Valid,1988-09-17,23/12/1980,"153 Worth Today Street, Flatby, Discussland TF1 5TA",2018-07-02,2023-09-30,2.3,180229.0,267000.0,owner-occupied,repayment,NatWest,purchase,fixed,point_keep_family@example.com,Abhishek Matthew_1988-09-17,Byron Daniel_23/12/1980
Keith Andrew,europe_lad_line@example.com,tea_much_black@example.com,Valid,Valid,Daniel Sophie,Daniel Michelle,7862289596.0,7879139584.0,Valid,1955-05-21,05/08/1942,"41 Difference Close, Turnford, Savesex M29 7SU",2021-11-25,2023-12-31,3.99,212000.0,255995.0,owner-occupied,repayment,NatWest,purchase,fixed,point_keep_family@example.com,Daniel Sophie_1955-05-21,Daniel Michelle_05/08/1942
Keith Andrew,Unknown,Unknown,No email,No email,Elizabeth Jesus,Simon Victoria,7797242784.0,7531979365.0,Valid,1957-05-02,02/08/1957,"1 Decide Street, Arrangeton, Trainshire PR3 2JR",2021-08-13,2024-03-31,1.04,91376.0,299000.0,owner-occupied,repayment,Barclays Bank,purchase,fixed,point_keep_family@example.com,Elizabeth Jesus_1957-05-02,Simon Victoria_02/08/1957
Keith Andrew,million_fire_land@example.com,No second consumer,Valid,No email,Omowumi Emma,No second consumer,7914795227.0,No second consumer,Valid,1998-10-23,No second consumer,"6 Business And Street, Stillham, Foodsex CR0 2PZ",2021-03-05,2024-06-30,1.72,81450.0,292378.0,owner-occupied,repayment,Principality BS,remortgage,fixed,point_keep_family@example.com,Omowumi Emma_1998-10-23,No second consumer
Keith Andrew,perhaps_dinner_new@example.com,perhaps_dinner_new@example.com,Valid,Valid,Lisa Husnan,Emma Nicola,7872374467.0,7872374467.0,Valid,1944-10-11,21/10/1924,"1 Often Road, Activeton, Hundredland CH3 6GS",2021-03-19,2027-04-30,2.15,267829.0,444995.0,owner-occupied,repayment,Nationwide BS,product-transfer,fixed,point_keep_family@example.com,Lisa Husnan_1944-10-11,Emma Nicola_21/10/1924
Keith Andrew,christmas_okay_find@example.com,door_transport_link@example.com,Valid,Valid,Rachael Hannah,Wayne Aaron,7936819425.0,7936819425.0,Valid,1989-07-18,23/11/1933,"264 Wonder Wear Close, Germanycester, Onceland GL2 9BY",2019-10-25,2024-02-14,1.65,112950.0,441995.0,owner-occupied,repayment,TSB,purchase,fixed,point_keep_family@example.com,Rachael Hannah_1989-07-18,Wayne Aaron_23/11/1933
Keith Andrew,economy_wife_town@example.com,Unknown,Valid,No email,Paige James,Alyssa Alice,7838588577.0,7838588577.0,Valid,1968-09-09,15/10/1962,"239 Fish Drive, Elseby, Courtsex M40 9NN",2019-12-06,2027-02-28,1.76,221960.0,369995.0,owner-occupied,repayment,Scottish Widows Bank,product-transfer,fixed,point_keep_family@example.com,Paige James_1968-09-09,Alyssa Alice_15/10/1962
Keith Andrew,today_black_about@example.com,can_represent_change@example.com,Valid,Valid,Hannah Colleen,Robert Philip,7529177258.0,7882522286.0,Valid,1952-12-13,09/01/1978,"4 Other Part Road, Programmeton, Electricshire L12 7AD",2021-03-01,2025-09-30,1.59,335259.0,307554.0,owner-occupied,repayment,Principality BS,product-transfer,fixed,point_keep_family@example.com,Hannah Colleen_1952-12-13,Robert Philip_09/01/1978
Keith Andrew,major_pick_she@example.com,but_hard_exist@example.com,Valid,Valid,Thomas Andrea,Madeline Deian,7848328984.0,7848328984.0,Valid,1968-03-01,23/04/1991,"81 Poor Drive, Socialby, Appearland PR25 5AQ",2017-11-30,2023-09-30,1.97,131040.0,202569.0,owner-occupied,repayment,Halifax,purchase,fixed,point_keep_family@example.com,Thomas Andrea_1968-03-01,Madeline Deian_23/04/1991
Keith Andrew,advertise_waste_call@example.com,propose_self_jesus@example.com,Valid,Valid,Jolly Anthea,Mbong Keith,7762553898.0,7762553898.0,Valid,1941-10-21,24/06/1978,"4 Garden Road, Southstead, Pardonshire B29 6UD",2021-06-28,2023-06-30,1.64,269995.0,270895.0,owner-occupied,repayment,Halifax,purchase,fixed,point_keep_family@example.com,Jolly Anthea_1941-10-21,Mbong Keith_24/06/1978
Keith Andrew,sort_sing_develop@example.com,No second consumer,Valid,No email,Michail Lydia,No second consumer,7811379934.0,No second consumer,Valid,1982-05-09,No second consumer,"116 Around Avenue, Coupleford, Areashire CA16 6FP",2021-02-24,2023-08-31,2.69,174370.0,253950.0,owner-occupied,repayment,Halifax,purchase,fixed,point_keep_family@example.com,Michail Lydia_1982-05-09,No second consumer
Keith Andrew,Unknown,Unknown,No email,No email,Leanne Victoria,Rachael Thomas,7844346452.0,7844346452.0,Valid,1967-09-11,08/06/1980,"64 Programme Mile Avenue, Hourford, Studyshire L14 7AT",2021-05-28,2025-03-31,2.14,201301.0,214950.0,owner-occupied,repayment,Santander UK Plc,purchase,fixed,point_keep_family@example.com,Leanne Victoria_1967-09-11,Rachael Thomas_08/06/1980
Keith Andrew,people_photograph_quiet@example.com,Unknown,Valid,No email,Jake Joseph,Michael Dean,7591921293.0,Unknown,Valid,1927-05-15,31/07/1930,"50 Represent Total Avenue, Francestead, Chairmanshire GL20 6JQ",2019-12-19,2023-03-02,1.24,159560.0,306000.0,owner-occupied,repayment,Principality BS,remortgage,fixed,point_keep_family@example.com,Jake Joseph_1927-05-15,Michael Dean_31/07/1930
Keith Andrew,you_okay_hospital@example.com,Unknown,Valid,No email,Oliver Paul,Lauren Claire,7776779244.0,7561759245.0,Valid,1941-08-28,08/10/1995,"14 Wage Deal Close, Parentmouth, Thousandland CW7 2RW",2021-07-29,2023-06-01,2.24,142796.0,334197.0,owner-occupied,repayment,Barclays Bank,purchase,fixed,point_keep_family@example.com,Oliver Paul_1941-08-28,Lauren Claire_08/10/1995
Keith Andrew,large_she_english@example.com,Unknown,Valid,No email,Liam Adrian,Sharnjit Benjamin,7823653423.0,7881667738.0,Valid,1968-11-09,16/11/1932,"143 Matter Raise Road, Closeby, Apartsex M25 3ER",2021-08-20,2026-11-05,1.84,146210.0,217995.0,owner-occupied,repayment,NatWest,remortgage,fixed,point_keep_family@example.com,Liam Adrian_1968-11-09,Sharnjit Benjamin_16/11/1932
Keith Andrew,clear_much_change@example.com,Unknown,Valid,No email,Jonathan Salma,Oanh Victoria,7986334788.0,Unknown,Valid,1988-08-09,14/12/1966,"52 Pack Street, Samecester, Leftsex BL6 6GH",2019-12-17,2024-09-30,1.39,137196.0,239995.0,owner-occupied,repayment,Nationwide BS,product-transfer,fixed,point_keep_family@example.com,Jonathan Salma_1988-08-09,Oanh Victoria_14/12/1966
Keith Andrew,reason_tie_oppose@example.com,No second consumer,Valid,No email,Charlotte Gregory,No second consumer,7943528696.0,No second consumer,Valid,1960-09-03,No second consumer,"24 Approach Street, Supplymouth, Conferland SY1 2BF",2021-03-01,2025-12-01,1.56,88000.0,400000.0,owner-occupied,repayment,Nationwide BS,purchase,fixed,point_keep_family@example.com,Charlotte Gregory_1960-09-03,No second consumer
Keith Andrew,purpose_benefit_wind@example.com,Unknown,Valid,No email,Phillip Laura,Sara Scott,7997964854.0,Unknown,Valid,1977-02-03,18/08/1946,"260 Explain Avenue, Almostcester, Strongshire CV2 2QH",2018-11-19,2023-05-31,3.08,148902.0,235000.0,owner-occupied,interest-only,Nationwide BS,product-transfer,fixed,point_keep_family@example.com,Phillip Laura_1977-02-03,Sara Scott_18/08/1946
Keith Andrew,mother_catch_sense@example.com,Unknown,Valid,No email,Jason Gurlabh,Annabel Callum,7727663426.0,Unknown,Valid,1954-03-01,17/10/1937,"33 Local Road, Dangerby, Indeedsex L14 7AT",2019-11-15,2023-08-31,3.64,157250.0,357500.0,owner-occupied,repayment,Halifax,purchase,fixed,point_keep_family@example.com,Jason Gurlabh_1954-03-01,Annabel Callum_17/10/1937
Keith Andrew,round_view_argue@example.com,No second consumer,Valid,No email,Lewis Mark,No second consumer,7993919437.0,No second consumer,Valid,1988-09-13,No second consumer,"1 Deep From Street, Enterham, Referland L12 7NB",2022-02-25,2024-09-30,2.04,226713.0,449995.0,owner-occupied,repayment,Principality BS,purchase,fixed,point_keep_family@example.com,Lewis Mark_1988-09-13,No second consumer
Keith Andrew,happy_evening_per@example.com,Unknown,Valid,No email,Benjamin Duncan,Jennifer Daniella,7974244826.0,Unknown,Valid,1999-05-06,17/03/1973,"3 West Street, Firststead, Councilsex ST4 6FG",2017-11-03,2023-03-31,2.51,210990.0,349000.0,owner-occupied,repayment,Halifax,purchase,fixed,point_keep_family@example.com,Benjamin Duncan_1999-05-06,Jennifer Daniella_17/03/1973
Keith Andrew,document_set_happy@example.com,No second consumer,Valid,No email,Sara Chetan,No second consumer,7822911956.0,No second consumer,Valid,1929-06-28,No second consumer,"202 Reckon Close, Environmentton, Saveshire L10 1AA",2018-10-01,2022-10-31,3.16,110810.0,202557.0,owner-occupied,repayment,Halifax,purchase,fixed,point_keep_family@example.com,Sara Chetan_1929-06-28,No second consumer
Keith Andrew,Unknown,doubt_holiday_guy@example.com,No email,Valid,Claire Stephanie,Gulamreza Toni,7533579642.0,7546672876.0,Valid,1938-08-18,12/11/1920,"193 Record Street, Linkstead, Wrongsex GL52 7YT",2022-06-29,2024-03-01,1.54,125000.0,238654.0,owner-occupied,repayment,BM Solutions,purchase,fixed,point_keep_family@example.com,Claire Stephanie_1938-08-18,Gulamreza Toni_12/11/1920
Keith Andrew,club_now_air@example.com,Unknown,Valid,No email,Ali Ushma,Daniel Jordan,7845594858.0,Unknown,Valid,1921-06-30,20/10/1946,"209 World Avenue, Awareford, Minusshire CV2 2QH",2021-01-01,2024-05-31,2.55,123241.0,235369.0,owner-occupied,repayment,Principality BS,purchase,fixed,point_keep_family@example.com,Ali Ushma_1921-06-30,Daniel Jordan_20/10/1946
Keith Andrew,council_go_scotland@example.com,video_tomorrow_month@example.com,Valid,Valid,Martha Lucy,Elizabeth Christopher,7971852874.0,7924888375.0,Valid,1941-02-20,06/12/1960,"6 Old Low Avenue, Importantham, Educatesex PR3 2JR",2021-11-19,2026-05-31,1.43,197348.0,242000.0,owner-occupied,repayment,Halifax,purchase,fixed,point_keep_family@example.com,Martha Lucy_1941-02-20,Elizabeth Christopher_06/12/1960
Keith Andrew,final_book_speed@example.com,Unknown,Valid,No email,Molly Daniela,Anthony James,7746326917.0,Unknown,Valid,1941-05-08,13/04/1986,"77 Improve Street, Questionstead, Whileland L40 7AG",2021-11-25,2024-03-31,2.04,124125.0,329950.0,owner-occupied,interest-only,NatWest,remortgage,tracker,point_keep_family@example.com,Molly Daniela_1941-05-08,Anthony James_13/04/1986
Aadam Rachel,west_people_hard@example.com,No second consumer,Valid,No email,Rollan Samantha,No second consumer,7845793793.0,No second consumer,Valid,1935-04-25,No second consumer,"111 Hundred Close, Armby, Cityland CH49 0WN",2021-04-01,2023-10-31,2.15,118125.0,171995.0,owner-occupied,repayment,NatWest,purchase,fixed,away_with_rid@example.com,Rollan Samantha_1935-04-25,No second consumer
Keith Andrew,company_serious_mind@example.com,hit_total_tie@example.com,Valid,Valid,Ruth Iqraa,Rachel Daniel,7889452525.0,7889452525.0,Valid,1947-05-16,19/01/1930,"166 Consider News Avenue, Languagemouth, Footland GL52 7YT",2019-01-21,2026-11-30,0.99,92312.0,195450.4,owner-occupied,repayment,Virgin Money,purchase,fixed,point_keep_family@example.com,Ruth Iqraa_1947-05-16,Rachel Daniel_19/01/1930
Keith Andrew,must_difference_local@example.com,Unknown,Valid,No email,Kevin Aroosa,Thomas Callum,7794726545.0,Unknown,Valid,1942-07-17,28/07/1936,"3 Develop Road, Worseford, Carryland PR25 5PF",2019-10-01,2025-03-31,1.82,118995.0,360000.0,owner-occupied,repayment,NatWest,purchase,fixed,point_keep_family@example.com,Kevin Aroosa_1942-07-17,Thomas Callum_28/07/1936
Keith Andrew,Unknown,Unknown,No email,No email,Bethany Daniel,Ian Ian,7891537981.0,7891537981.0,Valid,1976-09-04,29/03/1987,"6 Print Flat Drive, Quarterton, Helpland BL6 5UJ",2021-05-28,2023-06-01,2.19,134960.0,145000.0,owner-occupied,repayment,Nationwide BS,purchase,fixed,point_keep_family@example.com,Bethany Daniel_1976-09-04,Ian Ian_29/03/1987
Keith Andrew,reckon_could_quite@example.com,No second consumer,Valid,No email,Amy Rachel,No second consumer,7512813916.0,No second consumer,Valid,1936-08-28,No second consumer,"221 Further Road, Endford, Pullshire L36 5AB",2019-06-28,2023-12-31,2.29,218758.0,247995.0,owner-occupied,repayment,Accord,remortgage,fixed,point_keep_family@example.com,Amy Rachel_1936-08-28,No second consumer
Keith Andrew,any_best_up@example.com,Unknown,Valid,No email,Ashley Lucy,Carl Rachelle,7847711671.0,Unknown,Valid,1974-02-21,06/11/1947,"4 Project Avenue, Placestead, Christland WA2 8NG",2019-10-23,2025-08-31,2.99,121122.0,270000.0,owner-occupied,repayment,Nationwide BS,product-transfer,fixed,point_keep_family@example.com,Ashley Lucy_1974-02-21,Carl Rachelle_06/11/1947
Keith Andrew,bloke_of_much@example.com,Unknown,Valid,No email,Manu Nicki,Andrew Richard,7854867888.0,Unknown,Valid,1978-02-12,08/10/1986,"73 Raise Avenue, Bestford, Tiesex M29 8QX",2021-06-30,2023-09-30,1.57,116974.0,786625.0,owner-occupied,repayment,BM Solutions,purchase,fixed,point_keep_family@example.com,Manu Nicki_1978-02-12,Andrew Richard_08/10/1986
Keith Andrew,answer_cold_end@example.com,Unknown,Valid,No email,Joanna Maria,Tracy Zara,7547293755.0,Unknown,Valid,1968-02-26,09/11/1920,"6 Will Avenue, Mightby, Highsex GL2 9FZ",2018-03-01,2025-10-31,1.59,66519.0,275995.0,owner-occupied,repayment,Leeds BS,purchase,fixed,point_keep_family@example.com,Joanna Maria_1968-02-26,Tracy Zara_09/11/1920
Keith Andrew,suggest_drop_between@example.com,No second consumer,Valid,No email,Benjamin Faisal,No second consumer,7899417824.0,No second consumer,Valid,1956-12-25,No second consumer,"5 Absolute Improve Drive, Sircester, Sunsex CV6 5LD",2022-05-31,2022-12-31,1.25,150750.0,206229.0,owner-occupied,repayment,Santander UK Plc,purchase,fixed,point_keep_family@example.com,Benjamin Faisal_1956-12-25,No second consumer
Keith Andrew,against_around_health@example.com,against_around_health@example.com,Valid,Valid,Mark Lisa,Philip Karly,7743482967.0,7743482967.0,Valid,1962-01-30,17/12/1955,"191 Dress Nature Avenue, Bodyworth, Letterland CW11 3DF",2018-04-11,2026-10-31,2.39,230175.0,370000.0,owner-occupied,repayment,Leeds BS,product-transfer,fixed,point_keep_family@example.com,Mark Lisa_1962-01-30,Philip Karly_17/12/1955
