mortgage_advisor_name,consumer_1_email,consumer_2_email,consumer_1_email_validity,consumer_2_email_validity,consumer_1_name,consumer_2_name,consumer_1_phone_number,consumer_2_phone_number,consumer_1_phone_number_validity,consumer_1_dob,consumer_2_dob,consumer_1_correspondence_postcode,consumer_2_correspondence_postcode,property_address,property_value,mortgage_expiry_date,mortgage_start_date,mortgage_preferential_rate,mortgage_loan_amount,mortgage_property_value,mortgage_type,mortgage_payment_type,mortgage_lender,mortgage_loan_purpose,mortgage_scheme,mortgage_advisor_email,mortgage_account_number,mortgage_description,mortgage_charge,mortgage_pct_owned
Vanessa Abigail,kind_active_settle@example.com,,Valid,,Mark Paula,,7889181573,,Valid,1976-12-02,,,,"192 Table Separate Avenue, Existton, Understandsex DN4 8FN",,2021-09-01,2023-07-31,2.15,213000,214950,owner-occupied,repayment,Nationwide BS,product-transfer,fixed,art_miss_hit@example.com,,,first-charge,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanessa Abigail,increase_view_black@example.com,,Valid,,Benjamin Lauren,,7989514743,,Valid,1949-12-11,,,,"69 Moment Dry Road, Longham, Importantshire DN4 8FL",,2021-11-01,2024-06-30,4.19,201209,204194,owner-occupied,repayment,NatWest,purchase,fixed,art_miss_hit@example.com,,,first-charge,
Vanessa Abigail,lose_make_office@example.com,travel_because_income@example.com,Valid,Valid,Rachael Matthew,Allan Folashade,7751783724,7788672613,Valid,1975-08-01,"Monday, 24 June 1940",,,"54 Surprise Street, Uniteby, Involveland BB7 9FZ",,2021-05-28,2023-09-02,2.64,202460,,owner-occupied,repayment,Skipton BS,product-transfer,fixed,art_miss_hit@example.com,,,first-charge,
Vanessa Abigail,common_hit_no@example.com,,Valid,,Heather Clare,,7729983831,,Valid,1937-10-22,,,,"94 Power Save Close, Cheapford, Happenland PR25 1EF",,2021-07-29,2024-07-31,2.49,120060,269995,owner-occupied,repayment,Barclays Bank,remortgage,fixed,art_miss_hit@example.com,,,first-charge,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanessa Abigail,awful_staff_tea@example.com,,Valid,,Emma Anton,,7792286399,,Valid,1995-02-08,,,,"146 Baby Road, Sectionham, Anothersex YO31 0SJ",,2017-09-01,2025-11-01,2.24,94000,300000,owner-occupied,repayment,Santander UK Plc,product-transfer,fixed,art_miss_hit@example.com,,,first-charge,
Vanessa Abigail,minister_kill_bottom@example.com,,Valid,,Kevin Jack,,7588533926,,Valid,1940-05-19,,,,"5 Recommend Drive, Councilby, Characterland B70 0FL",,2021-11-01,2025-03-19,1.89,157465,222950,owner-occupied,repayment,Halifax,purchase,fixed,art_miss_hit@example.com,,,first-charge,
Joanne Neil,amount_happen_create@example.com,,Valid,,Emma Callum,Adrian Jane,7578545126,,Valid,1977-02-07,"Thursday, 1 December 1994",,,"8 Specific Close, Nonton, Reallyshire CV6 6HT",,2022-02-01,2023-03-25,1.52,118500,224000,owner-occupied,repayment,TSB,purchase,fixed,cost_leg_how@example.com,,,first-charge,
Joanne Neil,dress_travel_late@example.com,,Valid,,Sally Sunday,,7537937123,,Valid,1953-10-06,,,,"8 But Road, Christton, Writeland B16 0ND",,2021-11-01,2026-09-30,2.44,242024,318995,owner-occupied,repayment,Santander UK Plc,purchase,tracker,cost_leg_how@example.com,,,first-charge,
Joanne Neil,improve_call_car@example.com,fire_stick_family@example.com,Valid,Risky,Ben Russell,Ashleigh Maria,7758244792,7777223523,Valid,1984-08-14,"Thursday, 27 January 1944",,,"116 Private Avenue, Agecester, Supplyland DY2 0BY",,2021-12-01,2025-09-30,1.99,234050,,owner-occupied,repayment,Santander UK Plc,product-transfer,fixed,cost_leg_how@example.com,,,first-charge,
Emma Emma,dad_yes_son@example.com,,Valid,,Nayab Emma,,7796561953,,Valid,1935-06-06,,,,"296 Already Road, Situateham, Tryland B42 2GS",,2019-09-06,2026-05-31,2.23,181800,,owner-occupied,repayment,Platform,purchase,tracker,she_east_mile@example.com,,,first-charge,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emma Emma,around_idea_positive@example.com,bar_address_offer@example.com,Valid,Valid,Andrew Kate,Alicja Richard,7742238176,7555458324,Valid,1987-02-22,"Thursday, 8 April 1971",,,"222 Send Very Close, Hulloham, Quiteshire L40 7AE",,2021-11-01,2026-09-30,2.14,83700,,owner-occupied,repayment,Barclays Bank,purchase,fixed,she_east_mile@example.com,,,first-charge,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emma Emma,subject_please_dinner@example.com,remember_recognize_hullo@example.com,Valid,Valid,Sherelle Robert,Tokunbo Mathew,7565457557,7777971155,Valid,1953-10-15,"Wednesday, 5 December 1956",,,"4 Afternoon Keep Close, Inworth, Mentionsex HU9 5EQ",,2021-09-24,2024-03-31,1.42,133210,364995,owner-occupied,repayment,Bluestone Mortgages,purchase,fixed,she_east_mile@example.com,,,first-charge,
Emma Emma,one_blue_recognize@example.com,,Valid,,Bethan Katie,,7554853613,,Valid,1954-05-15,,,,"286 Shoot Avenue, Compareby, Effectland WS14 9GH",,2021-05-28,2026-04-30,1.99,295994,,owner-occupied,repayment,NatWest,product-transfer,fixed,she_east_mile@example.com,,,first-charge,0
Emma Emma,concern_mean_france@example.com,moment_hot_give@example.com,Valid,Valid,Ryan Sajith,Faisal Harjeet,7882211356,7882211356,Valid,1928-02-07,"Tuesday, 20 January 1998",,,"5 Build Order Street, Eithercester, Neverland ST3 3EY",,2022-05-03,2025-10-31,3.99,276421,,owner-occupied,repayment,Barclays Bank,purchase,tracker,she_east_mile@example.com,,,first-charge,
Emma Emma,within_door_tax@example.com,,Valid,,Ashley Kai,,7933594522,,Valid,1973-12-31,,,,"81 Why Appropriate Drive, Filmford, Propershire B42 2GQ",,2018-09-27,2022-11-30,1.94,158795,,owner-occupied,repayment,NatWest,remortgage,fixed,she_east_mile@example.com,,,first-charge,
Emma Emma,brilliant_chairman_three@example.com,none_front_positive@example.com,Valid,Valid,Nicholas Sadie,Mark Kalpita,7722159886,7941641289,Valid,1992-11-27,"Wednesday, 21 February 1962",,,"1 America Actual Street, Activemouth, Motionsex BB2 5FE",,2022-07-01,2023-03-31,2.48,225412,,owner-occupied,repayment,Halifax,purchase,fixed,she_east_mile@example.com,,,first-charge,
Emma Emma,particular_compare_place@example.com,,Valid,,Daniel Karl,,7557614557,,Valid,1954-01-02,,,,"226 Home Close, Nameby, Feedshire M31 4TB",,2021-05-01,2026-10-31,2.39,246500,,owner-occupied,repayment,Halifax,product-transfer,,she_east_mile@example.com,,,first-charge,
Emma Emma,almost_price_bottle@example.com,function_gas_britain@example.com,Risky,Valid,Andrew Jemma,Claire Katie,7973513557,7553132617,Valid,1997-03-05,"Thursday, 5 December 1963",,,"1 Park Drive, Allbury, Includesex OL2 6RH",,2018-01-19,2026-11-30,2.11,190000,,owner-occupied,repayment,Santander UK Plc,purchase,fixed,she_east_mile@example.com,,,first-charge,
Emma Emma,almost_price_bottle@example.com,function_gas_britain@example.com,Risky,Valid,Andrew Jemma,Claire Katie,7973513557,7553132617,Valid,1997-03-05,"Thursday, 5 December 1963",,,"1 Park Drive, Allbury, Includesex OL2 6RH",,2018-01-19,2026-11-30,2.11,190000,,owner-occupied,repayment,Santander UK Plc,purchase,fixed,she_east_mile@example.com,,,first-charge,
Emma Emma,almost_price_bottle@example.com,function_gas_britain@example.com,Risky,Valid,Andrew Jemma,Claire Katie,7973513557,7553132617,Valid,1997-03-05,"Thursday, 5 December 1963",,,"1 Park Drive, Allbury, Includesex OL2 6RH",,2018-01-19,2026-11-30,2.11,190000,,owner-occupied,repayment,Santander UK Plc,purchase,fixed,she_east_mile@example.com,,,first-charge,
Emma Emma,almost_price_bottle@example.com,function_gas_britain@example.com,Risky,Valid,Andrew Jemma,Claire Katie,7973513557,7553132617,Valid,1997-03-05,"Thursday, 5 December 1963",,,"1 Park Drive, Allbury, Includesex OL2 6RH",,2018-01-19,2026-11-30,2.11,190000,,owner-occupied,repayment,Santander UK Plc,purchase,fixed,she_east_mile@example.com,,,first-charge,
Emma Emma,almost_price_bottle@example.com,function_gas_britain@example.com,Risky,Valid,Andrew Jemma,Claire Katie,7973513557,7553132617,Valid,1997-03-05,"Thursday, 5 December 1963",,,"1 Park Drive, Allbury, Includesex OL2 6RH",,2018-01-19,2026-11-30,2.11,190000,,owner-occupied,repayment,Santander UK Plc,purchase,fixed,she_east_mile@example.com,,,first-charge,
Emma Emma,almost_price_bottle@example.com,function_gas_britain@example.com,Risky,Valid,Andrew Jemma,Claire Katie,7973513557,7553132617,Valid,1997-03-05,"Thursday, 5 December 1963",,,"1 Park Drive, Allbury, Includesex OL2 6RH",,2018-01-19,2026-11-30,2.11,190000,,owner-occupied,repayment,Santander UK Plc,purchase,fixed,she_east_mile@example.com,,,first-charge,
Emma Emma,almost_price_bottle@example.com,function_gas_britain@example.com,Risky,Valid,Andrew Jemma,Claire Katie,7973513557,7553132617,Valid,1997-03-05,"Thursday, 5 December 1963",,,"1 Park Drive, Allbury, Includesex OL2 6RH",,2018-01-19,2026-11-30,2.11,190000,,owner-occupied,repayment,Santander UK Plc,purchase,fixed,she_east_mile@example.com,,,first-charge,
Emma Emma,almost_price_bottle@example.com,function_gas_britain@example.com,Risky,Valid,Andrew Jemma,Claire Katie,7973513557,7553132617,Valid,1997-03-05,"Thursday, 5 December 1963",,,"1 Park Drive, Allbury, Includesex OL2 6RH",,2018-01-19,2026-11-30,2.11,190000,,owner-occupied,repayment,Santander UK Plc,purchase,fixed,she_east_mile@example.com,,,first-charge,
Emma Emma,almost_price_bottle@example.com,function_gas_britain@example.com,Risky,Valid,Andrew Jemma,Claire Katie,7973513557,7553132617,Valid,1997-03-05,"Thursday, 5 December 1963",,,"1 Park Drive, Allbury, Includesex OL2 6RH",,2018-01-19,2026-11-30,2.11,190000,,owner-occupied,repayment,Santander UK Plc,purchase,fixed,she_east_mile@example.com,,,first-charge,
Emma Emma,almost_price_bottle@example.com,function_gas_britain@example.com,Risky,Valid,Andrew Jemma,Claire Katie,7973513557,7553132617,Valid,1997-03-05,"Thursday, 5 December 1963",,,"1 Park Drive, Allbury, Includesex OL2 6RH",,2018-01-19,2026-11-30,2.11,190000,,owner-occupied,repayment,Santander UK Plc,purchase,fixed,she_east_mile@example.com,,,first-charge,
Emma Emma,almost_price_bottle@example.com,function_gas_britain@example.com,Risky,Valid,Andrew Jemma,Claire Katie,7973513557,7553132617,Valid,1997-03-05,"Thursday, 5 December 1963",,,"1 Park Drive, Allbury, Includesex OL2 6RH",,2018-01-19,2026-11-30,2.11,190000,,owner-occupied,repayment,Santander UK Plc,purchase,fixed,she_east_mile@example.com,,,first-charge,
Emma Emma,almost_price_bottle@example.com,function_gas_britain@example.com,Risky,Valid,Andrew Jemma,Claire Katie,7973513557,7553132617,Valid,1997-03-05,"Thursday, 5 December 1963",,,"1 Park Drive, Allbury, Includesex OL2 6RH",,2018-01-19,2026-11-30,2.11,190000,,owner-occupied,repayment,Santander UK Plc,purchase,fixed,she_east_mile@example.com,,,first-charge,
Emma Emma,almost_price_bottle@example.com,function_gas_britain@example.com,Risky,Valid,Andrew Jemma,Claire Katie,7973513557,7553132617,Valid,1997-03-05,"Thursday, 5 December 1963",,,"1 Park Drive, Allbury, Includesex OL2 6RH",,2018-01-19,2026-11-30,2.11,190000,,owner-occupied,repayment,Santander UK Plc,purchase,fixed,she_east_mile@example.com,,,first-charge,
Emma Emma,love_serious_always@example.com,read_wash_husband@example.com,Valid,Valid,Hannah Joshua,Molly James,7857615516,7918421762,Valid,1997-08-12,"Wednesday, 21 October 1987",,,"9 Within Christ Road, Boxton, Barland LS16 9FP",,2021-12-01,2023-09-01,1.44,167460,,owner-occupied,repayment,BM Solutions,purchase,fixed,she_east_mile@example.com,,,first-charge,
Emma Emma,period_square_other@example.com,,Risky,,Ranjit Rebecca,,7571258599,,Valid,1968-06-15,,,,"9 Country Avenue, Preparestead, Readysex ST17 4GB",,2019-01-14,2024-10-02,1.55,186654,225995,owner-occupied,repayment,NatWest,purchase,fixed,she_east_mile@example.com,,,first-charge,
Emma Emma,four_kid_seat@example.com,,Valid,,Scott Kwok,,7847296749,,Valid,1978-03-20,,,,"47 Hour Avenue, Clockford, Producesex WF8 2GR",,2019-11-01,2027-04-30,2.19,255999,,owner-occupied,repayment,Halifax,purchase,fixed,she_east_mile@example.com,,,first-charge,
Emma Emma,rest_reason_strong@example.com,character_site_family@example.com,Valid,Valid,Pamela Kirby,Chloe Dylan,7763152861,7556848329,Valid,1973-07-26,"Monday, 7 May 1979",,,"43 Run Avenue, Employford, Secretaryland WF8 2GR",,2021-10-06,2023-09-01,,288568,,owner-occupied,repayment,Halifax,remortgage,fixed,she_east_mile@example.com,,,first-charge,
Keith Andrew,,,,,Christopher Lucy,Ashley Alycia,7958724945,7958724945,Valid,1941-02-15,"Thursday, 31 December 1987",,,"209 Beauty Car Road, Votebury, Fridaysex CV35 9SU",,2019-05-01,2024-12-02,1.53,161060,190024,owner-occupied,repayment,Barclays Bank,purchase,fixed,point_keep_family@example.com,,,first-charge,
Keith Andrew,,,,,Abhishek Matthew,Byron Daniel,7996729456,7848811863,Valid,1988-09-17,"Tuesday, 23 December 1980",,,"153 Worth Today Street, Flatby, Discussland TF1 5TA",,2018-07-02,2023-09-30,2.3,180229,267000,owner-occupied,repayment,NatWest,purchase,fixed,point_keep_family@example.com,,,first-charge,
Keith Andrew,europe_lad_line@example.com,tea_much_black@example.com,Valid,Valid,Daniel Sophie,Daniel Michelle,7862289596,7879139584,Valid,1955-05-21,"Wednesday, 5 August 1942",,,"41 Difference Close, Turnford, Savesex M29 7SU",,2021-11-25,2023-12-31,3.99,212000,255995,owner-occupied,repayment,NatWest,purchase,fixed,point_keep_family@example.com,,,first-charge,
Keith Andrew,,,,,Elizabeth Jesus,Simon Victoria,7797242784,7531979365,Valid,1957-05-02,"Friday, 2 August 1957",,,"1 Decide Street, Arrangeton, Trainshire PR3 2JR",,2021-08-13,2024-03-31,1.04,91376,299000,owner-occupied,repayment,Barclays Bank,purchase,fixed,point_keep_family@example.com,,,first-charge,
Keith Andrew,million_fire_land@example.com,,Valid,,Omowumi Emma,,7914795227,,Valid,1998-10-23,,,,"6 Business And Street, Stillham, Foodsex CR0 2PZ",,2021-03-05,2024-06-30,1.72,81450,,owner-occupied,repayment,Principality BS,remortgage,fixed,point_keep_family@example.com,,,first-charge,0
Keith Andrew,perhaps_dinner_new@example.com,perhaps_dinner_new@example.com,Valid,Valid,Lisa Husnan,Emma Nicola,7872374467,7872374467,Valid,1944-10-11,"Tuesday, 21 October 1924",,,"1 Often Road, Activeton, Hundredland CH3 6GS",,2021-03-19,2027-04-30,2.15,267829,444995,owner-occupied,repayment,Nationwide BS,product-transfer,fixed,point_keep_family@example.com,,,first-charge,
Keith Andrew,christmas_okay_find@example.com,door_transport_link@example.com,Valid,Valid,Rachael Hannah,Wayne Aaron,7936819425,7936819425,Valid,1989-07-18,"Thursday, 23 November 1933",,,"264 Wonder Wear Close, Germanycester, Onceland GL2 9BY",,2019-10-25,2024-02-14,1.65,112950,441995,owner-occupied,repayment,TSB,purchase,fixed,point_keep_family@example.com,,,first-charge,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keith Andrew,economy_wife_town@example.com,,Valid,,Paige James,Alyssa Alice,7838588577,7838588577,Valid,1968-09-09,"Monday, 15 October 1962",,,"239 Fish Drive, Elseby, Courtsex M40 9NN",,2019-12-06,2027-02-28,1.76,221960,369995,owner-occupied,repayment,Scottish Widows Bank,product-transfer,fixed,point_keep_family@example.com,,,first-charge,
Keith Andrew,today_black_about@example.com,can_represent_change@example.com,Valid,Valid,Hannah Colleen,Robert Philip,7529177258,7882522286,Valid,1952-12-13,"Monday, 9 January 1978",,,"4 Other Part Road, Programmeton, Electricshire L12 7AD",,2021-03-01,2025-09-30,1.59,335259,,owner-occupied,repayment,Principality BS,product-transfer,fixed,point_keep_family@example.com,,,first-charge,
Keith Andrew,major_pick_she@example.com,but_hard_exist@example.com,Valid,Valid,Thomas Andrea,Madeline Deian,7848328984,7848328984,Valid,1968-03-01,"Tuesday, 23 April 1991",,,"81 Poor Drive, Socialby, Appearland PR25 5AQ",,2017-11-30,2023-09-30,1.97,131040,,owner-occupied,repayment,Halifax,purchase,fixed,point_keep_family@example.com,,,first-charge,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keith Andrew,advertise_waste_call@example.com,propose_self_jesus@example.com,Valid,Valid,Jolly Anthea,Mbong Keith,7762553898,7762553898,Valid,1941-10-21,"Saturday, 24 June 1978",,,"4 Garden Road, Southstead, Pardonshire B29 6UD",,2021-06-28,2023-06-30,1.64,269995,270895,owner-occupied,repayment,Halifax,purchase,fixed,point_keep_family@example.com,,,first-charge,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keith Andrew,sort_sing_develop@example.com,,Valid,,Michail Lydia,,7811379934,,Valid,1982-05-09,,,,"116 Around Avenue, Coupleford, Areashire CA16 6FP",,2021-02-24,2023-08-31,2.69,174370,253950,owner-occupied,repayment,Halifax,purchase,fixed,point_keep_family@example.com,,,first-charge,0
Keith Andrew,,,,,Leanne Victoria,Rachael Thomas,7844346452,7844346452,Valid,1967-09-11,"Sunday, 8 June 1980",,,"64 Programme Mile Avenue, Hourford, Studyshire L14 7AT",,2021-05-28,2025-03-31,2.14,201301,214950,owner-occupied,repayment,Santander UK Plc,purchase,fixed,point_keep_family@example.com,,,first-charge,
Keith Andrew,people_photograph_quiet@example.com,,Valid,,Jake Joseph,Michael Dean,7591921293,,Valid,1927-05-15,"Thursday, 31 July 1930",,,"50 Represent Total Avenue, Francestead, Chairmanshire GL20 6JQ",,2019-12-19,2023-03-02,1.24,159560,306000,owner-occupied,repayment,Principality BS,remortgage,fixed,point_keep_family@example.com,,,first-charge,
Keith Andrew,you_okay_hospital@example.com,,Valid,,Oliver Paul,Lauren Claire,7776779244,7561759245,Valid,1941-08-28,"Sunday, 8 October 1995",,,"14 Wage Deal Close, Parentmouth, Thousandland CW7 2RW",,2021-07-29,2023-06-01,2.24,142796,334197,owner-occupied,repayment,Barclays Bank,purchase,fixed,point_keep_family@example.com,,,first-charge,
Keith Andrew,large_she_english@example.com,,Valid,,Liam Adrian,Sharnjit Benjamin,7823653423,7881667738,Valid,1968-11-09,"Wednesday, 16 November 1932",,,"143 Matter Raise Road, Closeby, Apartsex M25 3ER",,2021-08-20,2026-11-05,1.84,146210,217995,owner-occupied,repayment,NatWest,remortgage,fixed,point_keep_family@example.com,,,first-charge,
Keith Andrew,clear_much_change@example.com,,Valid,,Jonathan Salma,Oanh Victoria,7986334788,,Valid,1988-08-09,"Wednesday, 14 December 1966",,,"52 Pack Street, Samecester, Leftsex BL6 6GH",,2019-12-17,2024-09-30,1.39,137196,239995,owner-occupied,repayment,Nationwide BS,product-transfer,fixed,point_keep_family@example.com,,,first-charge,
Keith Andrew,reason_tie_oppose@example.com,,Valid,,Charlotte Gregory,,7943528696,,Valid,1960-09-03,,,,"24 Approach Street, Supplymouth, Conferland SY1 2BF",,2021-03-01,2025-12-01,1.56,88000,400000,owner-occupied,repayment,Nationwide BS,purchase,fixed,point_keep_family@example.com,,,first-charge,
Keith Andrew,purpose_benefit_wind@example.com,,Valid,,Phillip Laura,Sara Scott,7997964854,,Valid,1977-02-03,"Sunday, 18 August 1946",,,"260 Explain Avenue, Almostcester, Strongshire CV2 2QH",,2018-11-19,2023-05-31,3.08,148902,235000,owner-occupied,interest-only,Nationwide BS,product-transfer,fixed,point_keep_family@example.com,,,first-charge,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keith Andrew,mother_catch_sense@example.com,,Valid,,Jason Gurlabh,Annabel Callum,7727663426,,Valid,1954-03-01,"Sunday, 17 October 1937",,,"33 Local Road, Dangerby, Indeedsex L14 7AT",,2019-11-15,2023-08-31,3.64,157250,357500,owner-occupied,repayment,Halifax,purchase,fixed,point_keep_family@example.com,,,first-charge,
Keith Andrew,round_view_argue@example.com,,Valid,,Lewis Mark,,7993919437,,Valid,1988-09-13,,,,"1 Deep From Street, Enterham, Referland L12 7NB",,2022-02-25,2024-09-30,2.04,226713,449995,owner-occupied,repayment,Principality BS,purchase,fixed,point_keep_family@example.com,,,first-charge,
Keith Andrew,happy_evening_per@example.com,,Valid,,Benjamin Duncan,Jennifer Daniella,7974244826,,Valid,1999-05-06,"Saturday, 17 March 1973",,,"3 West Street, Firststead, Councilsex ST4 6FG",,2017-11-03,2023-03-31,2.51,210990,349000,owner-occupied,repayment,Halifax,purchase,fixed,point_keep_family@example.com,,,first-charge,
Keith Andrew,document_set_happy@example.com,,Valid,,Sara Chetan,,7822911956,,Valid,1929-06-28,,,,"202 Reckon Close, Environmentton, Saveshire L10 1AA",,2018-10-01,2022-10-31,3.16,110810,202557,owner-occupied,repayment,Halifax,purchase,fixed,point_keep_family@example.com,,,first-charge,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keith Andrew,,doubt_holiday_guy@example.com,,Valid,Claire Stephanie,Gulamreza Toni,7533579642,7546672876,Valid,1938-08-18,"Friday, 12 November 1920",,,"193 Record Street, Linkstead, Wrongsex GL52 7YT",,2022-06-29,2024-03-01,1.54,125000,238654,owner-occupied,repayment,BM Solutions,purchase,fixed,point_keep_family@example.com,,,first-charge,
Keith Andrew,club_now_air@example.com,,Valid,,Ali Ushma,Daniel Jordan,7845594858,,Valid,1921-06-30,"Sunday, 20 October 1946",,,"209 World Avenue, Awareford, Minusshire CV2 2QH",,2021-01-01,2024-05-31,2.55,123241,,owner-occupied,repayment,Principality BS,purchase,fixed,point_keep_family@example.com,,,first-charge,
Keith Andrew,council_go_scotland@example.com,video_tomorrow_month@example.com,Valid,Valid,Martha Lucy,Elizabeth Christopher,7971852874,7924888375,Valid,1941-02-20,"Tuesday, 6 December 1960",,,"6 Old Low Avenue, Importantham, Educatesex PR3 2JR",,2021-11-19,2026-05-31,1.43,197348,242000,owner-occupied,repayment,Halifax,purchase,fixed,point_keep_family@example.com,,,first-charge,
Keith Andrew,final_book_speed@example.com,,Valid,,Molly Daniela,Anthony James,7746326917,,Valid,1941-05-08,"Sunday, 13 April 1986",,,"77 Improve Street, Questionstead, Whileland L40 7AG",,2021-11-25,2024-03-31,2.04,124125,329950,owner-occupied,interest-only,NatWest,remortgage,tracker,point_keep_family@example.com,,,first-charge,
Aadam Rachel,west_people_hard@example.com,,Valid,,Rollan Samantha,,7845793793,,Valid,1935-04-25,,,,"111 Hundred Close, Armby, Cityland CH49 0WN",,2021-04-01,2023-10-31,2.15,118125,171995,owner-occupied,repayment,NatWest,purchase,fixed,away_with_rid@example.com,,,first-charge,
Keith Andrew,company_serious_mind@example.com,hit_total_tie@example.com,Valid,Valid,Ruth Iqraa,Rachel Daniel,7889452525,7889452525,Valid,1947-05-16,"Sunday, 19 January 1930",,,"166 Consider News Avenue, Languagemouth, Footland GL52 7YT",,2019-01-21,2026-11-30,0.99,92312,,owner-occupied,repayment,Virgin Money,purchase,fixed,point_keep_family@example.com,,,first-charge,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keith Andrew,must_difference_local@example.com,,Valid,,Kevin Aroosa,Thomas Callum,7794726545,,Valid,1942-07-17,"Tuesday, 28 July 1936",,,"3 Develop Road, Worseford, Carryland PR25 5PF",,2019-10-01,2025-03-31,1.82,118995,360000,owner-occupied,repayment,NatWest,purchase,fixed,point_keep_family@example.com,,,first-charge,
Keith Andrew,,,,,Bethany Daniel,Ian Ian,7891537981,7891537981,Valid,1976-09-04,"Sunday, 29 March 1987",,,"6 Print Flat Drive, Quarterton, Helpland BL6 5UJ",,2021-05-28,2023-06-01,2.19,134960,145000,owner-occupied,repayment,Nationwide BS,purchase,fixed,point_keep_family@example.com,,,first-charge,
Keith Andrew,reckon_could_quite@example.com,,Valid,,Amy Rachel,,7512813916,,Valid,1936-08-28,,,,"221 Further Road, Endford, Pullshire L36 5AB",,2019-06-28,2023-12-31,2.29,218758,247995,owner-occupied,repayment,Accord,remortgage,fixed,point_keep_family@example.com,,,first-charge,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
